fecha,hora,origen,destino,tiempo_base_min,transbordo,distancia_manhattan,clima,nivel_congestion,incidente,demanda_estimada,es_hora_pico,tiempo_real_min
2026-03-19,6,Calle 26,Av Jiménez,3,0,1,despejado,4,0,306,1,9.66
2026-03-07,15,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,173,0,15.3
2026-03-01,19,Calle 100,Calle 72,4,0,1,despejado,2,0,199,1,8.79
2026-03-05,16,Av Jiménez,Portal Sur,7,1,1,lluvia,3,0,171,0,16.58
2026-03-20,21,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,123,0,15.25
2026-03-09,8,Calle 72,Calle 26,6,1,1,lluvia,3,0,249,1,17.38
2026-03-23,15,Calle 26,Av Jiménez,3,0,1,despejado,2,0,174,0,6.17
2026-03-03,18,Portal Norte,Calle 100,5,0,1,lluvia,4,1,256,1,20.43
2026-03-06,19,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,204,1,14.68
2026-03-18,6,Calle 72,Calle 26,6,1,1,lluvia,3,0,270,1,17.01
2026-03-12,6,Av Jiménez,Portal Sur,7,1,1,lluvia,3,0,228,1,18.55
2026-03-20,9,Américas,Banderas,4,0,1,lluvia_fuerte,3,0,237,1,14.82
2026-03-06,15,Portal Norte,Calle 100,5,0,1,lluvia,4,0,191,0,12.04
2026-03-13,6,Calle 100,Calle 72,4,0,1,lluvia,4,0,284,1,12.63
2026-03-08,5,Calle 26,Av Jiménez,3,0,1,lluvia,3,0,143,0,10.52
2026-03-12,21,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,177,0,16.45
2026-03-29,13,Calle 100,Calle 72,4,0,1,despejado,2,0,114,0,6.26
2026-03-12,15,Américas,Banderas,4,0,1,despejado,1,0,134,0,6.96
2026-03-09,6,Calle 26,Av Jiménez,3,0,1,lluvia,5,1,290,1,18.97
2026-03-22,15,Calle 100,Calle 72,4,0,1,despejado,1,0,123,0,6.02
2026-03-11,17,Américas,Banderas,4,0,1,lluvia,3,0,268,1,12.3
2026-03-22,10,Américas,Banderas,4,0,1,despejado,3,0,135,0,7.93
2026-03-14,15,Calle 26,Av Jiménez,3,0,1,despejado,1,0,150,0,4.94
2026-03-22,7,Calle 72,Calle 26,6,1,1,despejado,4,0,282,1,16.12
2026-03-22,14,Calle 26,Av Jiménez,3,0,1,despejado,1,0,90,0,4.39
2026-03-20,7,Banderas,Portal Sur,6,0,2,despejado,4,0,264,1,14.42
2026-03-16,17,Américas,Banderas,4,0,1,despejado,2,0,203,1,9.37
2026-03-06,21,Calle 26,Av Jiménez,3,0,1,despejado,1,0,143,0,4.12
2026-03-22,21,Banderas,Portal Sur,6,0,2,lluvia_fuerte,3,0,199,0,15.02
2026-03-29,10,Banderas,Portal Sur,6,0,2,lluvia,3,0,166,0,14.02
2026-03-25,21,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,119,0,14.71
2026-03-09,15,Calle 26,Av Jiménez,3,0,1,despejado,1,0,104,0,4.36
2026-03-23,11,Calle 72,Calle 26,6,1,1,despejado,3,0,194,0,14.2
2026-03-27,18,Calle 26,Av Jiménez,3,0,1,despejado,4,0,242,1,10.96
2026-03-16,5,Américas,Banderas,4,0,1,lluvia_fuerte,3,0,188,0,12.49
2026-03-16,12,Calle 26,Av Jiménez,3,0,1,despejado,2,0,153,0,6.61
2026-03-24,10,Américas,Banderas,4,0,1,lluvia,4,0,228,0,10.46
2026-03-19,5,Américas,Banderas,4,0,1,despejado,2,0,133,0,6.12
2026-03-11,11,Américas,Banderas,4,0,1,despejado,2,0,145,0,7.8
2026-03-09,7,Américas,Banderas,4,0,1,despejado,2,0,234,1,8.04
2026-03-25,6,Calle 100,Calle 72,4,0,1,lluvia,3,0,217,1,12.19
2026-03-05,20,Calle 26,Av Jiménez,3,0,1,lluvia,3,0,274,1,11.38
2026-03-06,8,Calle 26,Américas,5,1,1,lluvia,4,0,253,1,18.29
2026-03-19,17,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,221,1,14.74
2026-03-28,8,Av Jiménez,Portal Sur,7,1,1,lluvia,3,0,259,1,18.98
2026-03-03,21,Calle 26,Américas,5,1,1,despejado,2,1,172,0,17.25
2026-03-21,19,Calle 26,Américas,5,1,1,lluvia,5,0,331,1,20.42
2026-03-20,22,Av Jiménez,Portal Sur,7,1,1,lluvia,4,0,194,0,18.17
2026-03-27,7,Calle 26,Av Jiménez,3,0,1,despejado,3,0,263,1,8.51
2026-03-28,15,Banderas,Portal Sur,6,0,2,despejado,2,0,153,0,9.47
2026-03-18,5,Av Jiménez,Portal Sur,7,1,1,despejado,1,0,137,0,12.97
2026-03-23,20,Calle 26,Av Jiménez,3,0,1,despejado,2,0,201,1,7.21
2026-03-23,12,Américas,Banderas,4,0,1,despejado,2,0,180,0,7.27
2026-03-24,22,Américas,Banderas,4,0,1,despejado,2,0,149,0,6.6
2026-03-24,11,Calle 100,Calle 72,4,0,1,despejado,3,0,158,0,7.66
2026-03-09,21,Banderas,Portal Sur,6,0,2,despejado,1,0,122,0,8.15
2026-03-10,5,Calle 72,Calle 26,6,1,1,lluvia,2,0,116,0,15.33
2026-03-21,20,Calle 72,Calle 26,6,1,1,despejado,3,1,275,1,21.85
2026-03-06,6,Calle 26,Américas,5,1,1,despejado,2,0,198,1,13.46
2026-03-19,6,Calle 100,Calle 72,4,0,1,despejado,3,0,225,1,11.09
2026-03-18,18,Calle 100,Calle 72,4,0,1,despejado,2,0,256,1,8.41
2026-03-10,18,Banderas,Portal Sur,6,0,2,despejado,4,0,252,1,14.97
2026-03-21,11,Calle 26,Av Jiménez,3,0,1,despejado,1,0,107,0,5.12
2026-03-01,18,Calle 72,Calle 26,6,1,1,despejado,3,0,219,1,15.26
2026-03-23,19,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,240,1,16.72
2026-03-21,9,Calle 26,Av Jiménez,3,0,1,lluvia_fuerte,3,0,222,1,12.1
2026-03-20,14,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,161,0,15.26
2026-03-15,7,Banderas,Portal Sur,6,0,2,despejado,4,0,281,1,14.15
2026-03-03,12,Portal Norte,Calle 100,5,0,1,lluvia_fuerte,4,0,162,0,15.8
2026-03-19,6,Av Jiménez,Portal Sur,7,1,1,lluvia,5,0,321,1,22.3
2026-03-19,18,Calle 72,Calle 26,6,1,1,despejado,2,0,250,1,14.34
2026-03-11,8,Calle 26,Américas,5,1,1,lluvia,5,0,328,1,18.79
2026-03-27,22,Américas,Banderas,4,0,1,despejado,2,0,151,0,6.28
2026-03-28,21,Américas,Banderas,4,0,1,lluvia,4,1,219,0,17.39
2026-03-17,16,Calle 26,Av Jiménez,3,0,1,despejado,2,0,116,0,5.49
2026-03-30,14,Calle 72,Calle 26,6,1,1,despejado,1,0,88,0,13.14
2026-03-23,10,Calle 26,Av Jiménez,3,0,1,despejado,2,1,121,0,11.54
2026-03-15,8,Calle 100,Calle 72,4,0,1,despejado,4,0,277,1,11.12
2026-03-14,20,Av Jiménez,Portal Sur,7,1,1,lluvia_fuerte,5,0,283,1,23.02
2026-03-28,7,Calle 72,Calle 26,6,1,1,despejado,3,0,258,1,16.94
2026-03-27,5,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,197,0,16.28
2026-03-18,20,Banderas,Portal Sur,6,0,2,despejado,4,0,288,1,13.79
2026-03-28,11,Calle 26,Américas,5,1,1,lluvia_fuerte,3,0,164,0,18.25
2026-03-02,15,Américas,Banderas,4,0,1,lluvia,3,0,184,0,11.57
2026-03-16,6,Calle 72,Calle 26,6,1,1,despejado,3,0,227,1,16.8
2026-03-04,21,Banderas,Portal Sur,6,0,2,lluvia_fuerte,2,1,162,0,20.89
2026-03-03,20,Calle 72,Calle 26,6,1,1,lluvia,5,0,315,1,20.66
2026-03-28,22,Calle 26,Américas,5,1,1,despejado,3,0,197,0,14.29
2026-03-20,7,Portal Norte,Calle 100,5,0,1,despejado,3,0,244,1,11.49
2026-03-04,8,Américas,Banderas,4,0,1,despejado,2,0,195,1,8.28
2026-03-10,16,Portal Norte,Calle 100,5,0,1,despejado,3,0,187,0,9.56
2026-03-06,10,Calle 72,Calle 26,6,1,1,despejado,3,0,165,0,14.39
2026-03-08,19,Calle 72,Calle 26,6,1,1,despejado,4,0,241,1,18.06
2026-03-29,14,Banderas,Portal Sur,6,0,2,lluvia,3,0,179,0,14.37
2026-03-21,18,Av Jiménez,Portal Sur,7,1,1,lluvia,4,0,265,1,21.3
2026-03-04,12,Banderas,Portal Sur,6,0,2,despejado,2,0,147,0,8.85
2026-03-09,5,Américas,Banderas,4,0,1,despejado,3,0,141,0,9.39
2026-03-27,14,Banderas,Portal Sur,6,0,2,lluvia,3,0,163,0,13.53
2026-03-22,9,Av Jiménez,Portal Sur,7,1,1,despejado,4,0,245,1,17.64
2026-03-02,16,Banderas,Portal Sur,6,0,2,lluvia,3,0,176,0,13.79
2026-03-07,9,Calle 72,Calle 26,6,1,1,lluvia,4,0,307,1,19.1
2026-03-27,10,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,147,0,14.79
2026-03-26,8,Calle 26,Américas,5,1,1,despejado,2,1,240,1,20.82
2026-03-03,17,Calle 26,Américas,5,1,1,despejado,3,0,262,1,15.31
2026-03-19,17,Av Jiménez,Portal Sur,7,1,1,lluvia,3,0,244,1,18.83
2026-03-30,12,Calle 26,Américas,5,1,1,despejado,2,0,148,0,12.56
2026-03-05,6,Calle 100,Calle 72,4,0,1,lluvia_fuerte,4,0,254,1,14.13
2026-03-13,19,Calle 72,Calle 26,6,1,1,despejado,4,0,309,1,16.91
2026-03-29,18,Calle 72,Calle 26,6,1,1,lluvia,5,0,317,1,21.35
2026-03-02,16,Av Jiménez,Portal Sur,7,1,1,despejado,1,0,131,0,12.04
2026-03-18,16,Calle 26,Américas,5,1,1,despejado,1,0,143,0,10.02
2026-03-21,5,Calle 26,Av Jiménez,3,0,1,despejado,1,0,111,0,3.96
2026-03-19,11,Calle 26,Av Jiménez,3,0,1,lluvia,2,0,110,0,7.67
2026-03-05,22,Calle 72,Calle 26,6,1,1,despejado,3,0,138,0,13.52
2026-03-26,12,Calle 26,Américas,5,1,1,despejado,2,1,116,0,17.3
2026-03-17,8,Américas,Banderas,4,0,1,lluvia,4,0,305,1,13.32
2026-03-17,12,Banderas,Portal Sur,6,0,2,lluvia_fuerte,4,1,226,0,21.92
2026-03-02,20,Portal Norte,Calle 100,5,0,1,lluvia,3,0,277,1,13.41
2026-03-03,7,Banderas,Portal Sur,6,0,2,despejado,2,0,225,1,11.8
2026-03-13,21,Calle 26,Américas,5,1,1,despejado,2,0,122,0,12.9
2026-03-28,22,Calle 100,Calle 72,4,0,1,lluvia,3,0,164,0,10.19
2026-03-13,18,Banderas,Portal Sur,6,0,2,lluvia,4,0,272,1,15.6
2026-03-22,20,Calle 72,Calle 26,6,1,1,despejado,2,0,245,1,13.73
2026-03-26,9,Calle 26,Américas,5,1,1,despejado,4,0,282,1,16.51
2026-03-12,18,Américas,Banderas,4,0,1,lluvia,4,0,279,1,12.74
2026-03-05,20,Calle 26,Av Jiménez,3,0,1,despejado,4,0,287,1,9.18
2026-03-19,12,Av Jiménez,Portal Sur,7,1,1,lluvia,4,0,163,0,18.86
2026-03-01,10,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,154,0,13.01
2026-03-19,17,Calle 72,Calle 26,6,1,1,despejado,2,0,201,1,15.29
2026-03-13,18,Calle 26,Av Jiménez,3,0,1,despejado,3,0,256,1,9.56
2026-03-29,6,Calle 100,Calle 72,4,0,1,despejado,2,0,200,1,8.15
2026-03-16,19,Américas,Banderas,4,0,1,despejado,4,0,254,1,10.73
2026-03-10,20,Calle 100,Calle 72,4,0,1,despejado,2,0,240,1,9.86
2026-03-01,11,Portal Norte,Calle 100,5,0,1,despejado,1,0,117,0,6.49
2026-03-01,20,Calle 100,Calle 72,4,0,1,lluvia,4,0,308,1,13.59
2026-03-03,17,Calle 26,Américas,5,1,1,lluvia,3,1,273,1,23.91
2026-03-19,18,Calle 26,Américas,5,1,1,despejado,3,0,252,1,13.98
2026-03-11,10,Portal Norte,Calle 100,5,0,1,lluvia,4,0,206,0,11.61
2026-03-08,18,Calle 100,Calle 72,4,0,1,despejado,3,0,254,1,10.49
2026-03-11,10,Calle 26,Av Jiménez,3,0,1,despejado,3,0,200,0,6.67
2026-03-12,9,Calle 26,Américas,5,1,1,despejado,2,0,212,1,13.95
2026-03-06,20,Calle 100,Calle 72,4,0,1,despejado,4,0,297,1,11.53
2026-03-28,15,Calle 26,Américas,5,1,1,despejado,2,0,148,0,12.91
2026-03-12,21,Portal Norte,Calle 100,5,0,1,despejado,1,0,92,0,6.68
2026-03-03,7,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,285,1,17.99
2026-03-15,11,Portal Norte,Calle 100,5,0,1,despejado,1,0,92,0,6.88
2026-03-23,7,Calle 26,Américas,5,1,1,despejado,2,0,246,1,14.88
2026-03-12,16,Calle 72,Calle 26,6,1,1,lluvia_fuerte,3,0,141,0,19.09
2026-03-03,15,Calle 26,Américas,5,1,1,despejado,2,0,142,0,12.74
2026-03-11,7,Calle 72,Calle 26,6,1,1,despejado,3,0,254,1,17.02
2026-03-05,7,Américas,Banderas,4,0,1,despejado,3,0,231,1,10.31
2026-03-21,18,Calle 100,Calle 72,4,0,1,despejado,3,1,238,1,16.98
2026-03-25,20,Calle 26,Américas,5,1,1,despejado,2,0,199,1,13.21
2026-03-17,22,Calle 100,Calle 72,4,0,1,lluvia,2,0,153,0,10.1
2026-03-20,17,Calle 72,Calle 26,6,1,1,despejado,4,0,261,1,17.63
2026-03-14,16,Portal Norte,Calle 100,5,0,1,lluvia,3,0,171,0,12.01
2026-03-08,22,Banderas,Portal Sur,6,0,2,despejado,2,0,134,0,9.68
2026-03-15,14,Banderas,Portal Sur,6,0,2,lluvia,3,0,155,0,13.96
2026-03-28,13,Calle 72,Calle 26,6,1,1,despejado,2,0,180,0,14.24
2026-03-10,7,Calle 100,Calle 72,4,0,1,lluvia,5,0,283,1,15.09
2026-03-30,12,Calle 100,Calle 72,4,0,1,lluvia,2,0,163,0,8.13
2026-03-08,17,Calle 26,Américas,5,1,1,lluvia_fuerte,3,0,255,1,19.93
2026-03-26,9,Calle 26,Américas,5,1,1,despejado,3,0,232,1,15.52
2026-03-15,5,Banderas,Portal Sur,6,0,2,lluvia_fuerte,2,1,129,0,20.12
2026-03-04,14,Américas,Banderas,4,0,1,despejado,1,0,138,0,6.33
2026-03-03,8,Banderas,Portal Sur,6,0,2,lluvia,5,0,267,1,17.42
2026-03-23,9,Calle 26,Av Jiménez,3,0,1,despejado,3,1,245,1,15.07
2026-03-22,7,Calle 72,Calle 26,6,1,1,despejado,4,0,309,1,17.12
2026-03-13,20,Portal Norte,Calle 100,5,0,1,despejado,3,0,247,1,11.49
2026-03-26,7,Calle 26,Américas,5,1,1,despejado,4,0,253,1,16.75
2026-03-05,6,Calle 26,Américas,5,1,1,despejado,4,0,262,1,16.89
2026-03-23,20,Banderas,Portal Sur,6,0,2,despejado,2,0,248,1,10.39
2026-03-02,11,Calle 26,Av Jiménez,3,0,1,lluvia,3,0,200,0,9.16
2026-03-09,6,Banderas,Portal Sur,6,0,2,lluvia,4,0,246,1,16.78
2026-03-09,8,Calle 26,Américas,5,1,1,lluvia,4,0,296,1,19.05
2026-03-11,10,Américas,Banderas,4,0,1,despejado,3,0,169,0,9.12
2026-03-03,18,Américas,Banderas,4,0,1,despejado,4,0,277,1,10.67
2026-03-11,14,Calle 100,Calle 72,4,0,1,despejado,2,0,131,0,7.66
2026-03-15,6,Calle 26,Américas,5,1,1,lluvia,5,0,320,1,18.76
2026-03-03,17,Portal Norte,Calle 100,5,0,1,despejado,4,0,260,1,13.19
2026-03-28,19,Calle 72,Calle 26,6,1,1,despejado,4,1,286,1,22.77
2026-03-20,9,Portal Norte,Calle 100,5,0,1,lluvia,4,0,296,1,14.73
2026-03-17,16,Calle 72,Calle 26,6,1,1,despejado,1,0,99,0,10.86
2026-03-16,21,Calle 72,Calle 26,6,1,1,despejado,2,0,143,0,13.69
2026-03-20,14,Calle 26,Av Jiménez,3,0,1,lluvia,2,0,125,0,7.33
2026-03-15,10,Calle 100,Calle 72,4,0,1,lluvia,2,0,150,0,9.6
2026-03-18,22,Calle 100,Calle 72,4,0,1,despejado,1,0,107,0,6.7
2026-03-04,11,Calle 26,Av Jiménez,3,0,1,lluvia,3,0,138,0,9.07
2026-03-15,22,Calle 26,Américas,5,1,1,despejado,1,0,124,0,10.76
2026-03-17,18,Banderas,Portal Sur,6,0,2,lluvia,3,0,231,1,15.83
2026-03-15,19,Calle 100,Calle 72,4,0,1,lluvia,5,0,288,1,14.94
2026-03-14,21,Calle 72,Calle 26,6,1,1,lluvia_fuerte,2,1,176,0,22.37
2026-03-06,15,Calle 72,Calle 26,6,1,1,lluvia_fuerte,4,0,196,0,20.43
2026-03-07,22,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,203,0,14.42
2026-03-19,9,Calle 72,Calle 26,6,1,1,despejado,4,0,283,1,17.92
2026-03-27,5,Portal Norte,Calle 100,5,0,1,despejado,3,0,168,0,9.76
2026-03-20,5,Américas,Banderas,4,0,1,despejado,2,0,148,0,7.16
2026-03-10,19,Américas,Banderas,4,0,1,despejado,3,1,268,1,15.86
2026-03-11,9,Calle 26,Av Jiménez,3,0,1,despejado,4,0,284,1,11.24
2026-03-25,16,Calle 72,Calle 26,6,1,1,despejado,1,0,144,0,11.09
2026-03-08,9,Banderas,Portal Sur,6,0,2,despejado,3,0,268,1,12.1
2026-03-27,15,Calle 72,Calle 26,6,1,1,lluvia_fuerte,2,0,130,0,17.2
2026-03-16,14,Banderas,Portal Sur,6,0,2,despejado,2,0,174,0,9.9
2026-03-07,16,Calle 26,Av Jiménez,3,0,1,despejado,3,0,195,0,6.89
2026-03-28,8,Portal Norte,Calle 100,5,0,1,despejado,4,0,286,1,12.73
2026-03-02,17,Calle 26,Américas,5,1,1,despejado,3,0,285,1,14.39
2026-03-17,19,Américas,Banderas,4,0,1,lluvia,5,0,280,1,13.41
2026-03-13,16,Calle 100,Calle 72,4,0,1,lluvia,3,0,153,0,9.68
2026-03-17,6,Américas,Banderas,4,0,1,despejado,3,0,275,1,9.95
2026-03-20,21,Calle 72,Calle 26,6,1,1,despejado,2,0,130,0,12.94
2026-03-19,15,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,148,0,14.14
2026-03-12,15,Portal Norte,Calle 100,5,0,1,lluvia,4,0,199,0,13.31
2026-03-20,20,Portal Norte,Calle 100,5,0,1,despejado,4,0,269,1,12.63
2026-03-06,21,Banderas,Portal Sur,6,0,2,despejado,2,0,128,0,10.77
2026-03-02,8,Calle 26,Av Jiménez,3,0,1,despejado,3,0,234,1,8.69
2026-03-14,21,Calle 26,Av Jiménez,3,0,1,lluvia,4,0,167,0,11.09
2026-03-18,15,Calle 26,Av Jiménez,3,0,1,lluvia_fuerte,3,0,175,0,12.5
2026-03-30,22,Banderas,Portal Sur,6,0,2,despejado,3,0,168,0,11.46
2026-03-08,13,Calle 26,Av Jiménez,3,0,1,despejado,2,0,146,0,6.69
2026-03-11,20,Banderas,Portal Sur,6,0,2,despejado,4,0,275,1,13.39
2026-03-29,17,Américas,Banderas,4,0,1,lluvia,3,0,252,1,10.8
2026-03-12,19,Calle 100,Calle 72,4,0,1,lluvia,3,0,240,1,12.69
2026-03-30,22,Av Jiménez,Portal Sur,7,1,1,lluvia,4,0,190,0,17.98
2026-03-21,12,Calle 26,Av Jiménez,3,0,1,despejado,3,0,195,0,6.44
2026-03-01,22,Calle 72,Calle 26,6,1,1,lluvia_fuerte,4,0,220,0,19.55
2026-03-25,14,Calle 26,Av Jiménez,3,0,1,despejado,1,0,114,0,5.08
2026-03-30,10,Portal Norte,Calle 100,5,0,1,despejado,1,0,135,0,7.69
2026-03-30,14,Calle 72,Calle 26,6,1,1,lluvia,4,1,173,0,24.63
2026-03-10,19,Calle 26,Américas,5,1,1,lluvia_fuerte,4,0,257,1,20.94
2026-03-09,11,Banderas,Portal Sur,6,0,2,lluvia,4,0,218,0,14.76
2026-03-01,15,Calle 72,Calle 26,6,1,1,lluvia,2,0,132,0,15.47
2026-03-27,18,Américas,Banderas,4,0,1,despejado,4,1,252,1,16.34
2026-03-16,15,Calle 72,Calle 26,6,1,1,lluvia_fuerte,3,1,165,0,24.27
2026-03-11,14,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,156,0,14.66
2026-03-22,8,Portal Norte,Calle 100,5,0,1,despejado,4,0,304,1,13.12
2026-03-23,8,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,243,1,16.23
2026-03-16,9,Calle 72,Calle 26,6,1,1,despejado,3,0,268,1,16.38
2026-03-25,22,Banderas,Portal Sur,6,0,2,lluvia,2,0,120,0,12.06
2026-03-03,8,Calle 26,Américas,5,1,1,despejado,4,0,265,1,16.27
2026-03-06,15,Calle 72,Calle 26,6,1,1,lluvia,4,0,186,0,18.12
2026-03-03,21,Banderas,Portal Sur,6,0,2,despejado,1,0,150,0,8.6
2026-03-18,19,Portal Norte,Calle 100,5,0,1,lluvia,3,0,265,1,12.31
2026-03-24,11,Portal Norte,Calle 100,5,0,1,despejado,2,0,118,0,8.3
2026-03-30,7,Portal Norte,Calle 100,5,0,1,lluvia_fuerte,4,0,292,1,15.33
2026-03-25,18,Calle 72,Calle 26,6,1,1,despejado,3,0,263,1,15.6
2026-03-21,16,Calle 72,Calle 26,6,1,1,despejado,2,0,177,0,12.31
2026-03-27,5,Calle 26,Av Jiménez,3,0,1,lluvia,3,0,204,0,9.22
2026-03-27,12,Américas,Banderas,4,0,1,despejado,2,0,134,0,8.25
2026-03-02,18,Calle 100,Calle 72,4,0,1,despejado,2,0,220,1,7.99
2026-03-20,6,Calle 100,Calle 72,4,0,1,despejado,2,0,221,1,9.28
2026-03-15,12,Américas,Banderas,4,0,1,despejado,1,0,102,0,6.01
2026-03-08,15,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,140,0,13.72
2026-03-22,21,Calle 72,Calle 26,6,1,1,despejado,1,0,107,0,12.3
2026-03-18,20,Américas,Banderas,4,0,1,despejado,4,0,288,1,11.79
2026-03-23,18,Calle 26,Américas,5,1,1,despejado,2,0,258,1,13.64
2026-03-10,9,Calle 26,Av Jiménez,3,0,1,lluvia,5,0,317,1,14.42
2026-03-13,12,Calle 72,Calle 26,6,1,1,despejado,1,0,142,0,12.83
2026-03-18,11,Calle 100,Calle 72,4,0,1,despejado,3,0,140,0,9.3
2026-03-26,22,Calle 26,Av Jiménez,3,0,1,despejado,2,0,148,0,7.3
2026-03-07,11,Portal Norte,Calle 100,5,0,1,lluvia_fuerte,3,0,166,0,13.87
2026-03-13,12,Calle 26,Av Jiménez,3,0,1,despejado,2,0,169,0,6.28
2026-03-10,13,Calle 26,Américas,5,1,1,despejado,2,0,122,0,12.93
2026-03-25,15,Banderas,Portal Sur,6,0,2,lluvia_fuerte,3,0,140,0,15.35
2026-03-24,9,Calle 26,Av Jiménez,3,0,1,despejado,4,0,293,1,9.61
2026-03-11,12,Calle 26,Av Jiménez,3,0,1,despejado,2,0,180,0,6.57
2026-03-09,20,Calle 26,Américas,5,1,1,lluvia_fuerte,4,0,298,1,19.3
